Cause of death,Cause of death Code,Year,Deaths,Population,Crude Rate,Age Adjusted Rate
"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,2015,1008,11613423,8.7,9.1
Accidental poisoning by and exposure to alcohol,X45,2011,56,11545442,0.5,0.5
Accidental poisoning by and exposure to alcohol,X45,2012,71,11551783,0.6,0.6
Accidental poisoning by and exposure to alcohol,X45,2013,52,11572232,0.4,0.4
Accidental poisoning by and exposure to alcohol,X45,2014,70,11596998,0.6,0.6
Accidental poisoning by and exposure to alcohol,X45,2015,74,11613423,0.6,0.6
Accidental poisoning by and exposure to other gases and vapours,X47,2011,49,11545442,0.4,0.4
Accidental poisoning by and exposure to other gases and vapours,X47,2012,35,11551783,0.3,0.3
Accidental poisoning by and exposure to other gases and vapours,X47,2013,19,11572232,0.2 (Unreliable),0.2 (Unreliable)
Accidental poisoning by and exposure to other gases and vapours,X47,2014,34,11596998,0.3,0.3
Accidental poisoning by and exposure to other gases and vapours,X47,2015,34,11613423,0.3,0.3
Exposure to unspecified factor causing fracture,X59.0,2011,170,11545442,1.5,1.2
Exposure to unspecified factor causing fracture,X59.0,2012,159,11551783,1.4,1.1
Exposure to unspecified factor causing fracture,X59.0,2013,139,11572232,1.2,0.9
Exposure to unspecified factor causing fracture,X59.0,2014,128,11596998,1.1,0.9
Exposure to unspecified factor causing fracture,X59.0,2015,116,11613423,1,0.8
Exposure to unspecified factor causing other and unspecified injury,X59.9,2011,104,11545442,0.9,0.8
Exposure to unspecified factor causing other and unspecified injury,X59.9,2012,98,11551783,0.8,0.8
Exposure to unspecified factor causing other and unspecified injury,X59.9,2013,104,11572232,0.9,0.8
Exposure to unspecified factor causing other and unspecified injury,X59.9,2014,139,11596998,1.2,1
Exposure to unspecified factor causing other and unspecified injury,X59.9,2015,136,11613423,1.2,1
"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,2011,27,11545442,0.2,0.2
"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,2012,29,11551783,0.3,0.2
"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,2013,23,11572232,0.2,0.2
"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,2014,38,11596998,0.3,0.3
"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,2015,42,11613423,0.4,0.4
"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X62,2011,18,11545442,0.2 (Unreliable),0.2 (Unreliable)
"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X62,2012,14,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X62,2013,22,11572232,0.2,0.2
"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X62,2014,17,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X62,2015,26,11613423,0.2,0.2
"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,2011,133,11545442,1.2,1.1
"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,2012,117,11551783,1,1
"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,2013,138,11572232,1.2,1.1
"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,2014,100,11596998,0.9,0.9
"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,2015,108,11613423,0.9,0.9
Intentional self-poisoning by and exposure to other gases and vapours,X67,2011,56,11545442,0.5,0.4
Intentional self-poisoning by and exposure to other gases and vapours,X67,2012,44,11551783,0.4,0.4
Intentional self-poisoning by and exposure to other gases and vapours,X67,2013,56,11572232,0.5,0.5
Intentional self-poisoning by and exposure to other gases and vapours,X67,2014,57,11596998,0.5,0.5
Intentional self-poisoning by and exposure to other gases and vapours,X67,2015,51,11613423,0.4,0.4
"Intentional self-harm by hanging, strangulation and suffocation",X70,2011,405,11545442,3.5,3.6
"Intentional self-harm by hanging, strangulation and suffocation",X70,2012,440,11551783,3.8,3.9
"Intentional self-harm by hanging, strangulation and suffocation",X70,2013,388,11572232,3.4,3.5
"Intentional self-harm by hanging, strangulation and suffocation",X70,2014,432,11596998,3.7,3.8
"Intentional self-harm by hanging, strangulation and suffocation",X70,2015,430,11613423,3.7,3.8
Intentional self-harm by drowning and submersion,X71,2014,13,11596998,0.1 (Unreliable),0.1 (Unreliable)
Intentional self-harm by drowning and submersion,X71,2015,14,11613423,0.1 (Unreliable),0.1 (Unreliable)
Intentional self-harm by handgun discharge,X72,2011,50,11545442,0.4,0.4
Intentional self-harm by handgun discharge,X72,2012,78,11551783,0.7,0.6
Intentional self-harm by handgun discharge,X72,2013,98,11572232,0.8,0.8
Intentional self-harm by handgun discharge,X72,2014,89,11596998,0.8,0.7
Intentional self-harm by handgun discharge,X72,2015,114,11613423,1,0.9
"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,2011,74,11545442,0.6,0.6
"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,2012,85,11551783,0.7,0.7
"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,2013,91,11572232,0.8,0.8
"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,2014,64,11596998,0.6,0.5
"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,2015,90,11613423,0.8,0.7
Intentional self-harm by other and unspecified firearm discharge,X74,2011,602,11545442,5.2,4.9
Intentional self-harm by other and unspecified firearm discharge,X74,2012,621,11551783,5.4,5.1
Intentional self-harm by other and unspecified firearm discharge,X74,2013,611,11572232,5.3,5
Intentional self-harm by other and unspecified firearm discharge,X74,2014,591,11596998,5.1,4.8
Intentional self-harm by other and unspecified firearm discharge,X74,2015,657,11613423,5.7,5.4
"Intentional self-harm by smoke, fire and flames",X76,2015,10,11613423,0.1 (Unreliable),0.1 (Unreliable)
Intentional self-harm by sharp object,X78,2011,18,11545442,0.2 (Unreliable),0.2 (Unreliable)
Intentional self-harm by sharp object,X78,2012,28,11551783,0.2,0.2
Intentional self-harm by sharp object,X78,2013,21,11572232,0.2,0.2
Intentional self-harm by sharp object,X78,2014,20,11596998,0.2,0.2
Intentional self-harm by sharp object,X78,2015,32,11613423,0.3,0.2
Intentional self-harm by jumping from a high place,X80,2011,21,11545442,0.2,0.2
Intentional self-harm by jumping from a high place,X80,2012,27,11551783,0.2,0.2
Intentional self-harm by jumping from a high place,X80,2013,31,11572232,0.3,0.3
Intentional self-harm by jumping from a high place,X80,2014,22,11596998,0.2,0.2
Intentional self-harm by jumping from a high place,X80,2015,25,11613423,0.2,0.2
Intentional self-harm by jumping or lying before moving object,X81,2011,15,11545442,0.1 (Unreliable),0.1 (Unreliable)
Intentional self-harm by jumping or lying before moving object,X81,2012,19,11551783,0.2 (Unreliable),0.2 (Unreliable)
Intentional self-harm by jumping or lying before moving object,X81,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
Intentional self-harm by jumping or lying before moving object,X81,2014,18,11596998,0.2 (Unreliable),0.2 (Unreliable)
Intentional self-harm by jumping or lying before moving object,X81,2015,16,11613423,0.1 (Unreliable),0.1 (Unreliable)
Intentional self-harm by crashing of motor vehicle,X82,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Assault by hanging, strangulation and suffocation",X91,2011,16,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Assault by hanging, strangulation and suffocation",X91,2012,37,11551783,0.3,0.3
"Assault by hanging, strangulation and suffocation",X91,2013,34,11572232,0.3,0.3
"Assault by hanging, strangulation and suffocation",X91,2014,22,11596998,0.2,0.2
"Assault by hanging, strangulation and suffocation",X91,2015,17,11613423,0.1 (Unreliable),0.2 (Unreliable)
Assault by handgun discharge,X93,2011,17,11545442,0.1 (Unreliable),0.2 (Unreliable)
Assault by handgun discharge,X93,2013,28,11572232,0.2,0.3
Assault by handgun discharge,X93,2014,25,11596998,0.2,0.2
Assault by handgun discharge,X93,2015,29,11613423,0.2,0.3
"Assault by rifle, shotgun and larger firearm discharge",X94,2011,16,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Assault by rifle, shotgun and larger firearm discharge",X94,2012,11,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Assault by rifle, shotgun and larger firearm discharge",X94,2013,12,11572232,0.1 (Unreliable),0.1 (Unreliable)
Assault by other and unspecified firearm discharge,X95,2011,420,11545442,3.6,3.8
Assault by other and unspecified firearm discharge,X95,2012,420,11551783,3.6,3.9
Assault by other and unspecified firearm discharge,X95,2013,407,11572232,3.5,3.7
Assault by other and unspecified firearm discharge,X95,2014,389,11596998,3.4,3.5
Assault by other and unspecified firearm discharge,X95,2015,446,11613423,3.8,4.1
Assault by sharp object,X99,2011,54,11545442,0.5,0.5
Assault by sharp object,X99,2012,48,11551783,0.4,0.4
Assault by sharp object,X99,2013,60,11572232,0.5,0.5
Assault by sharp object,X99,2014,56,11596998,0.5,0.5
Assault by sharp object,X99,2015,48,11613423,0.4,0.4
By unspecified person,Y07.9,2011,12,11545442,0.1 (Unreliable),0.1 (Unreliable)
Assault by other specified means,Y08,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
Assault by unspecified means,Y09,2011,48,11545442,0.4,0.4
Assault by unspecified means,Y09,2012,66,11551783,0.6,0.6
Assault by unspecified means,Y09,2013,60,11572232,0.5,0.5
Assault by unspecified means,Y09,2014,48,11596998,0.4,0.4
Assault by unspecified means,Y09,2015,64,11613423,0.6,0.5
"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",Y11,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",Y11,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",Y12,2011,16,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",Y12,2012,20,11551783,0.2,0.2
"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",Y12,2013,17,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",Y12,2014,17,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",Y12,2015,23,11613423,0.2,0.2
"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,2011,41,11545442,0.4,0.3
"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,2012,27,11551783,0.2,0.2
"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,2013,20,11572232,0.2,0.2
"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,2014,27,11596998,0.2,0.2
"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,2015,26,11613423,0.2,0.2
"Other and unspecified firearm discharge, undetermined intent",Y24,2012,14,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Other and unspecified firearm discharge, undetermined intent",Y24,2015,16,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Exposure to smoke, fire and flames, undetermined intent",Y26,2012,11,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Unspecified event, undetermined intent",Y34,2011,20,11545442,0.2,0.2
"Unspecified event, undetermined intent",Y34,2012,19,11551783,0.2 (Unreliable),0.1 (Unreliable)
"Unspecified event, undetermined intent",Y34,2013,14,11572232,0.1 (Unreliable),0.1 (Unreliable)
"Unspecified event, undetermined intent",Y34,2015,13,11613423,0.1 (Unreliable),0.1 (Unreliable)
Legal intervention involving firearm discharge,Y35.0,2011,20,11545442,0.2,0.2
Legal intervention involving firearm discharge,Y35.0,2012,16,11551783,0.1 (Unreliable),0.1 (Unreliable)
Legal intervention involving firearm discharge,Y35.0,2013,13,11572232,0.1 (Unreliable),0.1 (Unreliable)
Legal intervention involving firearm discharge,Y35.0,2014,17,11596998,0.1 (Unreliable),0.2 (Unreliable)
Legal intervention involving firearm discharge,Y35.0,2015,18,11613423,0.2 (Unreliable),0.2 (Unreliable)
"Drug or medicament, unspecified",Y57.9,2011,10,11545442,0.1 (Unreliable),0.1 (Unreliable)
Surgical operation with implant of artificial internal device,Y83.1,2011,19,11545442,0.2 (Unreliable),0.1 (Unreliable)
Surgical operation with implant of artificial internal device,Y83.1,2012,12,11551783,0.1 (Unreliable),0.1 (Unreliable)
Surgical operation with implant of artificial internal device,Y83.1,2013,11,11572232,0.1 (Unreliable),0.1 (Unreliable)
Surgical operation with implant of artificial internal device,Y83.1,2014,12,11596998,0.1 (Unreliable),0.1 (Unreliable)
Surgical operation with implant of artificial internal device,Y83.1,2015,17,11613423,0.1 (Unreliable),0.1 (Unreliable)
"Surgical operation with anastomosis, bypass or graft",Y83.2,2012,10,11551783,0.1 (Unreliable),0.1 (Unreliable)
"Surgical operation with anastomosis, bypass or graft",Y83.2,2014,11,11596998,0.1 (Unreliable),0.1 (Unreliable)
"Surgical procedure, unspecified",Y83.9,2011,17,11545442,0.1 (Unreliable),0.1 (Unreliable)
"Surgical procedure, unspecified",Y83.9,2012,40,11551783,0.3,0.3
"Surgical procedure, unspecified",Y83.9,2013,23,11572232,0.2,0.2
"Surgical procedure, unspecified",Y83.9,2014,27,11596998,0.2,0.2
"Surgical procedure, unspecified",Y83.9,2015,22,11613423,0.2,0.2
Other medical procedures,Y84.8,2011,16,11545442,0.1 (Unreliable),0.1 (Unreliable)
Other medical procedures,Y84.8,2012,19,11551783,0.2 (Unreliable),0.1 (Unreliable)
Other medical procedures,Y84.8,2013,18,11572232,0.2 (Unreliable),0.1 (Unreliable)
Other medical procedures,Y84.8,2014,14,11596998,0.1 (Unreliable),0.1 (Unreliable)
Other medical procedures,Y84.8,2015,12,11613423,0.1 (Unreliable),0.1 (Unreliable)
Sequelae of motor-vehicle accident,Y85.0,2011,42,11545442,0.4,0.4
Sequelae of motor-vehicle accident,Y85.0,2012,26,11551783,0.2,0.2
Sequelae of motor-vehicle accident,Y85.0,2013,32,11572232,0.3,0.2
Sequelae of motor-vehicle accident,Y85.0,2014,31,11596998,0.3,0.3
